problem,mangaki_title,refs,mangaki_id,manami_data,manami_data_from_title
Zero or multiple Manami,A Message for Passing the Baton from Cure Lovely to Cure Flora,MAL:29781:X,2446,,
Zero or multiple Manami,Air,,113,,"504:Air Movie:1667,498:Air:2002"
Zero or multiple Manami,Attack no Titan x Schick Commercial,MAL:32137:X,14060,,
Zero or multiple Manami,Azumanga Daioh,Animeka:azu-manga-daioh,136,,"1400:Azumanga Daioh,1403:Azumanga Daiou The Animation (2002):106"
Zero or multiple Manami,Bakuman.,Animeka:bakuman,119,,"1576:Bakuman. 2nd Season,1578:Bakuman. 3rd Season,1573:Bakuman.:7251"
Zero or multiple Manami,Beelzebub: Kaiketsu!! Beel-bo Meitantei Suiri,MAL:16532:X,3053,,"1817:Beelzebub Specials,1821:Beelzebub: Kaiketsu!! Beel-bo Meitantei Suiri"
Zero or multiple Manami,Beelzebub: Sakigake!! Beel to Shinsengumi,MAL:13067:X,1790,,"1817:Beelzebub Specials,1822:Beelzebub: Sakigake!! Beel to Shinsengumi"
Mangaki title collision with different Manami,Berserk,MAL:33,3409,10255:Kenpuu Denki Berserk:98,
Mangaki title collision with different Manami,Berserk,MAL:32379,14327,1861:Berserk:11851,
Mangaki title collision with different Manami,Berserk,MAL:2:X,4481,,
Zero or multiple Manami,Bishoujo Senshi Sailor Moon: Crystal 2nd Season,MAL:30595:X,12360,,
Zero or multiple Manami,"Charlotte: Arata na ""Unmei"" no Hajimari",MAL:30987:X,12674,,
Zero or multiple Manami,Chokotto Kamen,MAL:32754:X,14411,,
Zero or multiple Manami,Devilman (Movie),MAL:30618:X,12116,,
Mangaki title collision with different Manami,Digimon: The Movie,MAL:2961,10207,4117:Digimon Adventure Movie:1148,
Mangaki title collision with different Manami,Digimon: The Movie,MAL:2397,1513,4127:Digimon Adventure: Bokura no War Game!:1149,
Mangaki title collision with different Manami,Doraemon,MAL:501,233,4297:Doraemon:2110,
Mangaki title collision with different Manami,Doraemon,MAL:2471,11292,4298:Doraemon (1979):1078,
Mangaki title collision with different Manami,Doraemon,,5095,,
Mangaki title collision with different Manami,Dororo,MAL:5760,11406,4425:Dororo to Hyakkimaru:1119,
Mangaki title collision with different Manami,Dororo,MAL:11471,14019,4424:Dororo Pilot,
Mangaki title collision with different Manami,Dororo,,5098,,
Zero or multiple Manami,Eureka Seven,Animeka:eureka-seven,96,,"11305:Koukyoushihen: Eureka Seven:2826,11294:Koukyoushihen Eureka Seven"
Zero or multiple Manami,"Fireworks, Should We See it from the Side or the Bottom?",,18331,,"22200:Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?:12605,22199:Uchiage Hanabi"
Zero or multiple Manami,Flipping through Belgrade,MAL:29720:X,1226,,
Zero or multiple Manami,Free!,Animeka:free,131,,"5426:Free!:9858,5427:Free! (2020),5428:Free! (Movie):14415"
Mangaki title collision with different Manami,Gestalt,MAL:1283,12661,3079:Choujuu Densetsu Gestalt:597,
Mangaki title collision with different Manami,Gestalt,MAL:23061,2353,7730:Heya/Keitai,
Zero or multiple Manami,Gintama OVA,MAL:28295:X,3346,,"6426:Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,6415:Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru"
Zero or multiple Manami,Haikyuu!!: Jump Festa 2015 Special,MAL:31492:X,13471,,"7059:Haikyuu!!: Lev Genzan!,7067:Haikyuu!!: vs. ""Akaten"""
Zero or multiple Manami,Hellsing,Animeka:hellsing,52,,"7637:Hellsing:32,7638:Hellsing (2006):3296"
Zero or multiple Manami,Hellsing Ultimate,,98,,"7640:Hellsing Ultimate,7638:Hellsing (2006):3296"
Zero or multiple Manami,Highschool of the Dead,Animeka:gakuen-mokushiroku-high-school-of-the,21,,"7865:Highschool of the Dead,5796:Gakuen Mokushiroku: High School of the Dead:7382"
Zero or multiple Manami,InuYasha,,79,,"8885:InuYasha,8886:InuYasha (TV):144"
Zero or multiple Manami,Irodorimidori,MAL:31779:X,13976,,"384:Agitation!,23169:World Reminiscences-Divertment,16772:Polka Dot,2056:Black'n White Jammin' Cats,4233:Dokidoki Dream!!!,19340:Shout Our Evidence!,21389:Tic Tac Dreamin',17:""Star""t,22678:Very! Merry!! Session!!!,8987:Issei Kiyuukyoku: Divertimento,5404:Fortissimo Bell,18591:Session High⤴,18212:Sayonara Freeway,19878:Sousha wa Tada Senaka to Teikin de Kataru Nomi,13607:Minna e wo Check!,2731:Change Our Mirai!:11423,2732:Change Our Mirai!: Our 7 Lights,3499:Crescendo Story,22971:Watashi no Naka no Gensou-teki Sekaikan Oyobi Sono Kengen wo Souki Saseta Aru Genjitsu de no Dekigot,22972:Watashi no Naka no Gensou-teki Sekaikan Oyobi Sono Kengen wo Souki Saseta Aru Genjitsu de no Dekigoto ni Kansuru Ichi Kousatsu,15426:Ok? Alright!,14152:Moushin Soloist Life!,16972:Prism,16080:Outsider:Requiem,8921:Irodorimidori,7515:Heart Beat,5341:Fire Me Up,2400:Brilliant Better,19939:Spicy Swingy Style,19940:SPICY SWINGY STYLE,8933:Irotoridori no Melody,14310:Muteki We Are One!!,20712:Tanitsu Shikousei Overbloom,20073:Still,5099:Ever Green Never End,14701:Neko Matsuri,3954:Detarame Rock & Roll Theory,22004:Trust,1654:Bang Babang Bang!!!,14330:My Dearest Song,11901:Light Speed Days"
Zero or multiple Manami,Kanojo x Kanojo x Kanojo Full Version,MAL:18597:X,12101,,
Mangaki title collision with different Manami,Karneval,MAL:16035,10692,10046:Karneval (TV):9186,
Mangaki title collision with different Manami,Karneval,MAL:16033,11837,10045:Karneval:9334,
Mangaki title collision with different Manami,Karneval,,5976,,
Mangaki title collision with different Manami,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,MAL:34021,20602,12275:Lupin the IIIrd: Chikemuri no Ishikawa Goemon:12398,
"Zero or multiple Manami, Mangaki title collision with different Manami",Lupin the IIIrd: Chikemuri no Ishikawa Goemon,,21458,,"12275:Lupin the IIIrd: Chikemuri no Ishikawa Goemon:12398,12206:Lupin III: Goemon Ishikawa's Spray of Blood"
Zero or multiple Manami,L’Œil du Cyclone,MAL:32395:X,14326,,
Zero or multiple Manami,Macross Δ SP,MAL:33807:X,15185,,"12377:Macross Δ SP,12378:Macross Δ Special"
Zero or multiple Manami,Mahou Shoujo Lyrical Nanoha ViVid (2017),MAL:33666:X,14837,,
Zero or multiple Manami,Mario & Yoshi's Adventure Land,MAL:31462:X,13453,,
Zero or multiple Manami,Medaka no Gakkou (Music),MAL:31727:X,14234,,
Zero or multiple Manami,Meow no Hoshi,MAL:32588:X,14348,,"13376:Meow's Star:11884,13374:Meow no Hoshi,13375:Meow no Hoshi"
Zero or multiple Manami,Nihon Animator Mihonichi Movie,MAL:31142:X,12910,,
Zero or multiple Manami,Noragami OVA 2,MAL:30624:X,10035,,
Zero or multiple Manami,"Ore, Twin tails ni Narimasu. Recap",MAL:30552:X,11573,,
Zero or multiple Manami,Pandora in the Crimson Shell: Ghost Urn,MAL:31930:X,13827,,"11284:Koukaku no Pandora: Ghost Urn,11285:Koukaku no Pandora: Ghost Urn:11815"
Zero or multiple Manami,Pandora of the Crimson Shell: Ghost Urn,MAL:31940:X,13828,,
Zero or multiple Manami,Pokémon the Movie 20: I Choose You!,,17546,,"16640:Pocket Monsters: Kimi ni Kimeta!,16731:Pokemon: Kimi ni Kimeta!,16701:Pokemon Movie 20: Kimi ni Kimeta!,6094:Gekijouban Pocket Monsters: Kimi ni Kimeta!:12646"
Zero or multiple Manami,Saru Kani Gassen,MAL:22399:X,9259,,"18165:Saru Kani Gassen,18166:Saru Kani Gassen:11507,18167:Saru Kani Gassen"
Zero or multiple Manami,Shakugan no Shana II,Animeka:shakugan-no-shana2,145,,
Zero or multiple Manami,Shin Saru Kani Gassen (1939),MAL:22401:X,20229,,"12952:Manguwa Shin Saru Kani Gassen:6945,18946:Shin Saru Kani Gassen"
Zero or multiple Manami,Shingeki no Bahamut: Genesis Special,MAL:31095:X,12907,,
Mangaki title collision with different Manami,Sorcerer Hunters,MAL:808,10089,1601:Bakuretsu Hunters OVA:939,
Mangaki title collision with different Manami,Sorcerer Hunters,MAL:495,"11881,2211",1600:Bakuretsu Hunters,
Mangaki title collision with different Manami,Sorcerer Hunters,,7403,,
Zero or multiple Manami,Teekyuu 9 Specials,MAL:36054:X,21171,,
Mangaki title collision with different Manami,The Asterisk War: The Academy City on the Water,MAL:31737,"14364,15197,14469,15196",5824:Gakusen Toshi Asterisk 2nd Season,
Mangaki title collision with different Manami,The Asterisk War: The Academy City on the Water,MAL:30544,"13519,12689,12373,15194,15195",5822:Gakusen Toshi Asterisk:11177,
Zero or multiple Manami,"The Night is Short, Walk On Girl",,18416,,"23701:Yoru wa Mijikashi Aruke yo Otome:12647,23702:Yoru wa Mijikashi Arukeyo Otome"
Zero or multiple Manami,World Trigger: Fugitives from Another World,MAL:31316:X,13204,,
